ID,STIX ID,name,description,url,created,last modified
AML.TA0009,x-mitre-tactic--76d8d1bc-98fb-406a-a88d-a70649ad9365,Collection,"The adversary is trying to gather machine learning artifacts and other related information relevant to their goal.

Collection consists of techniques adversaries may use to gather information and the sources information is collected from that are relevant to following through on the adversary's objectives.
Frequently, the next goal after collecting data is to steal (exfiltrate) the ML artifacts, or use the collected information to stage future operations.
Common target sources include software repositories, container registries, model repositories, and object stores.
",https://atlas.mitre.org/tactics/AML.TA0009,29 October 2024,29 October 2024
AML.TA0013,x-mitre-tactic--b7c3883a-1ae7-47cd-bd53-024c79ac833a,Credential Access,"The adversary is trying to steal account names and passwords.

Credential Access consists of techniques for stealing credentials like account names and passwords. Techniques used to get credentials include keylogging or credential dumping. Using legitimate credentials can give adversaries access to systems, make them harder to detect, and provide the opportunity to create more accounts to help achieve their goals.
",https://atlas.mitre.org/tactics/AML.TA0013,29 October 2024,29 October 2024
AML.TA0007,x-mitre-tactic--35a4b685-8a9f-4f66-bef0-92c8a5fd8411,Defense Evasion,"The adversary is trying to avoid being detected by machine learning-enabled security software.

Defense Evasion consists of techniques that adversaries use to avoid detection throughout their compromise.
Techniques used for defense evasion include evading ML-enabled security software such as malware detectors.
",https://atlas.mitre.org/tactics/AML.TA0007,29 October 2024,29 October 2024
AML.TA0008,x-mitre-tactic--b3f5fda4-a31a-4a74-9588-995b143d3436,Discovery,"The adversary is trying to figure out your machine learning environment.

Discovery consists of techniques an adversary may use to gain knowledge about the system and internal network.
These techniques help adversaries observe the environment and orient themselves before deciding how to act.
They also allow adversaries to explore what they can control and what's around their entry point in order to discover how it could benefit their current objective.
Native operating system tools are often used toward this post-compromise information-gathering objective.
",https://atlas.mitre.org/tactics/AML.TA0008,29 October 2024,29 October 2024
AML.TA0005,x-mitre-tactic--b777d4af-fbe8-4e44-9917-c5c5542a7147,Execution,"The adversary is trying to run malicious code embedded in machine learning artifacts or software.

Execution consists of techniques that result in adversary-controlled code running on a local or remote system.
Techniques that run malicious code are often paired with techniques from all other tactics to achieve broader goals, like exploring a network or stealing data.
For example, an adversary might use a remote access tool to run a PowerShell script that does [Remote System Discovery](https://attack.mitre.org/techniques/T1018/).
",https://atlas.mitre.org/tactics/AML.TA0005,29 October 2024,29 October 2024
AML.TA0010,x-mitre-tactic--55e80a13-be94-43ba-aa57-e6c5cb822864,Exfiltration,"The adversary is trying to steal machine learning artifacts or other information about the machine learning system.

Exfiltration consists of techniques that adversaries may use to steal data from your network.
Data may be stolen for its valuable intellectual property, or for use in staging future operations.

Techniques for getting data out of a target network typically include transferring it over their command and control channel or an alternate channel and may also include putting size limits on the transmission.
",https://atlas.mitre.org/tactics/AML.TA0010,29 October 2024,29 October 2024
AML.TA0011,x-mitre-tactic--4386734e-fa57-4700-95b8-e76b8cab8ab3,Impact,"The adversary is trying to manipulate, interrupt, erode confidence in, or destroy your machine learning systems and data.

Impact consists of techniques that adversaries use to disrupt availability or compromise integrity by manipulating business and operational processes.
Techniques used for impact can include destroying or tampering with data.
In some cases, business processes can look fine, but may have been altered to benefit the adversaries' goals.
These techniques might be used by adversaries to follow through on their end goal or to provide cover for a confidentiality breach.
",https://atlas.mitre.org/tactics/AML.TA0011,29 October 2024,29 October 2024
AML.TA0004,x-mitre-tactic--14ef1e2d-f902-450a-a7e8-b032e318bb86,Initial Access,"The adversary is trying to gain access to the machine learning system.

The target system could be a network, mobile device, or an edge device such as a sensor platform.
The machine learning capabilities used by the system could be local with onboard or cloud-enabled ML capabilities.

Initial Access consists of techniques that use various entry vectors to gain their initial foothold within the system.
",https://atlas.mitre.org/tactics/AML.TA0004,29 October 2024,29 October 2024
AML.TA0001,x-mitre-tactic--528bc2da-8855-44c0-9e45-ab92c179bf6f,ML Attack Staging,"The adversary is leveraging their knowledge of and access to the target system to tailor the attack.

ML Attack Staging consists of techniques adversaries use to prepare their attack on the target ML model.
Techniques can include training proxy models, poisoning the target model, and crafting adversarial data to feed the target model.
Some of these techniques can be performed in an offline manner and are thus difficult to mitigate.
These techniques are often used to achieve the adversary's end goal.
",https://atlas.mitre.org/tactics/AML.TA0001,29 October 2024,29 October 2024
AML.TA0000,x-mitre-tactic--2666e534-bf47-4656-9404-e90afe41f4a7,ML Model Access,"The adversary is attempting to gain some level of access to a machine learning model.

ML Model Access enables techniques that use various types of access to the machine learning model that can be used by the adversary to gain information, develop attacks, and as a means to input data to the model.
The level of access can range from the full knowledge of the internals of the model to access to the physical environment where data is collected for use in the machine learning model.
The adversary may use varying levels of model access during the course of their attack, from staging the attack to impacting the target system.

Access to an ML model may require access to the system housing the model, the model may be publically accessible via an API, or it may be accessed indirectly via interaction with a product or service that utilizes ML as part of its processes.
",https://atlas.mitre.org/tactics/AML.TA0000,29 October 2024,29 October 2024
