source ID,source name,source ref,source type,mapping type,target ID,target name,target ref,target type,mapping description,STIX ID,created,last modified
AML.M0023,AI Bill of Materials,course-of-action--62d0ba49-7343-48de-a756-ac5fdaf98c8f,mitigation,mitigates,AML.T0020,Poison Training Data,attack-pattern--d63c873b-7e01-437d-98ef-d681099c3377,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--1f764d81-78ee-424c-8f95-edf125726977,14 March 2025,14 March 2025
AML.M0023,AI Bill of Materials,course-of-action--62d0ba49-7343-48de-a756-ac5fdaf98c8f,mitigation,mitigates,AML.T0019,Publish Poisoned Datasets,attack-pattern--89461ddf-4d27-40e7-ba53-8221012fe9c1,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--e068cb9b-04df-4934-8171-bd7254057c9b,14 March 2025,14 March 2025
AML.M0023,AI Bill of Materials,course-of-action--62d0ba49-7343-48de-a756-ac5fdaf98c8f,mitigation,mitigates,AML.T0058,Publish Poisoned Models,attack-pattern--97fe9577-c7ed-466d-817d-697f815db7b0,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--3c8a99a5-b227-490d-aefe-c688fd42688b,14 March 2025,14 March 2025
AML.M0023,AI Bill of Materials,course-of-action--62d0ba49-7343-48de-a756-ac5fdaf98c8f,mitigation,mitigates,AML.T0011.000,Unsafe ML Artifacts,attack-pattern--df46bcf0-0231-413c-9661-7f7d0e39b63e,technique,An AI BOM can help users identify untrustworthy model artifacts.,relationship--46704524-e837-4d3a-a8b1-b1f00293e2d1,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0040,AI Model Inference API Access,attack-pattern--da8fff4a-bfff-4fe2-9d45-1c01fd9d3b73,technique,Telemetry logging can help audit API usage of the model.,relationship--34dcff49-0eb8-4125-b1a7-ee83bd4ae706,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0051.000,Direct,attack-pattern--dcce6e07-56ea-416a-a15b-7693f0f0d631,technique,Telemetry logging can help identify if unsafe prompts have been submitted to the LLM.,relationship--ad092bd4-1b38-45b7-a085-ef19987add45,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0024,Exfiltration via ML Inference API,attack-pattern--3f333baa-31b3-4196-966c-5298a8b106c5,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--79ee56d3-8cc3-42d4-adee-f4729aeef8d8,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0024.002,Extract ML Model,attack-pattern--9ab0c79a-4dcf-4270-a272-af080402402d,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--07a90eee-f5ba-4f53-90ca-abcc27779b68,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0051.001,Indirect,attack-pattern--3897f551-0533-4714-b8de-47e3879e42ae,technique,Telemetry logging can help identify if unsafe prompts have been submitted to the LLM.,relationship--2ca4045b-c0b9-4c7e-b6c6-acf651c25665,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0024.000,Infer Training Data Membership,attack-pattern--02c2f3c6-678a-40f7-997b-a3faa54a5760,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--0e64f681-3d86-4788-abe3-62d4e663e053,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0024.001,Invert ML Model,attack-pattern--93c93189-92f6-4485-8ddf-6c5e501f416f,technique,Telemetry logging can help identify if sensitive data has been exfiltrated.,relationship--17f10300-6776-4310-9ca8-0013a7c85d0e,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0051,LLM Prompt Injection,attack-pattern--f9eddd08-a29a-4598-80a4-171d456be7c7,technique,Telemetry logging can help identify if unsafe prompts have been submitted to the LLM.,relationship--cea7502f-c78e-427a-bbce-b72ebf243c6a,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0047,ML-Enabled Product or Service,attack-pattern--e4653a0a-5832-4c26-ab98-e31a31936085,technique,Telemetry logging can help identify if sensitive model information has been sent to an attacker.,relationship--5df7971f-5414-41ac-86df-b307ac2c0a41,14 March 2025,14 March 2025
AML.M0024,AI Telemetry Logging,course-of-action--e89d6eec-150c-4308-bd3e-fc51e5efdfa6,mitigation,mitigates,AML.T0005.001,Train Proxy via Replication,attack-pattern--f9408f13-6211-4259-85e1-794dc96a6100,technique,Telemetry logging can help identify if a proxy training dataset has been exfiltrated.,relationship--35f9b678-56ec-437e-b39d-30ff82740645,14 March 2025,14 March 2025
AML.M0015,Adversarial Input Detection,course-of-action--caf6e938-cf87-4a2c-a752-206b930f3c01,mitigation,mitigates,AML.T0043.001,Black-Box Optimization,attack-pattern--fb1d969f-a88b-4404-a1a5-36fc7eab7c41,technique,"Monitor queries and query patterns to the target model, block access if suspicious queries are detected.
",relationship--b4c63ae8-2117-4e48-88ab-98ca853c759b,14 March 2025,14 March 2025
AML.M0015,Adversarial Input Detection,course-of-action--caf6e938-cf87-4a2c-a752-206b930f3c01,mitigation,mitigates,AML.T0029,Denial of ML Service,attack-pattern--861e7c2c-3f39-4131-b657-d9d9149189d0,technique,"Assess queries before inference call or enforce timeout policy for queries which consume excessive resources.
",relationship--fb2c272d-01f9-4e06-ab1b-e1939c56bb26,14 March 2025,14 March 2025
AML.M0015,Adversarial Input Detection,course-of-action--caf6e938-cf87-4a2c-a752-206b930f3c01,mitigation,mitigates,AML.T0031,Erode ML Model Integrity,attack-pattern--4b0d8468-e00f-4ba2-9e18-1a2f527f08b2,technique,"Incorporate adversarial input detection into the pipeline before inputs reach the model.
",relationship--c361f85a-ab7f-4a99-9214-3c5b79f1f313,14 March 2025,14 March 2025
AML.M0015,Adversarial Input Detection,course-of-action--caf6e938-cf87-4a2c-a752-206b930f3c01,mitigation,mitigates,AML.T0015,Evade ML Model,attack-pattern--ccf27b22-48bf-4219-a668-fa60eb0d94a4,technique,"Prevent an attacker from introducing adversarial data into the system.
",relationship--575ce8b4-f991-4323-ab40-eb42c9b1781a,14 March 2025,14 March 2025
